"population","ID","block","color","number","size","env","group","old.H8","old.H9","H8","H9"
4010,4010,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4011,4011,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4012,4012,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4013,4013,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4014,4014,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4015,4015,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4016,4016,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4017,4017,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4018,4018,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4019,4019,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4020,4020,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4021,4021,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4022,4022,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4023,4023,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4024,4024,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4025,4025,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4026,4026,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4027,4027,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4028,4028,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4029,4029,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4030,4030,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4101,4101,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4102,4102,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4103,4103,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4104,4104,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4105,4105,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4106,4106,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4107,4107,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4108,4108,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4109,4109,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4110,4110,4,"yellow",1,20,"fluctuating","mixed",NA,NA,NA,NA
4201,4201,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4202,4202,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4203,4203,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4204,4204,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4205,4205,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4206,4206,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4207,4207,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4208,4208,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4209,4209,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4210,4210,4,"yellow",1,20,"stable","mixed",NA,NA,NA,NA
4301,4301,4,"yellow",2,10,"fluctuating","mixed",NA,NA,NA,NA
4302,4302,4,"yellow",2,10,"fluctuating","mixed",NA,NA,NA,NA
4303,4303,4,"yellow",2,10,"fluctuating","mixed",NA,NA,NA,NA
4304,4304,4,"yellow",2,10,"fluctuating","mixed",NA,NA,NA,NA
4305,4305,4,"yellow",2,10,"fluctuating","mixed",NA,NA,NA,NA
4401,4401,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4402,4402,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4403,4403,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4404,4404,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4405,4405,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4406,4406,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4407,4407,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4408,4408,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4409,4409,4,"yellow",2,10,"stable","mixed",NA,NA,NA,NA
4501,4501,4,"yellow",4,5,"fluctuating","mixed",NA,NA,NA,NA
4502,4502,4,"yellow",4,5,"fluctuating","mixed",NA,NA,NA,NA
4503,4503,4,"yellow",4,5,"fluctuating","mixed",NA,NA,NA,NA
