"population","ID","block","color","number","size","env","group","old.H8","old.H9","H8","H9"
672,672.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.918428632714347,0.888551944801945
673,673.1,3,"pink",5,4,"fluctuating","low",0.902,0.886,0.924237203430216,0.908559972885196
675,675.2,3,"pink",5,4,"fluctuating",NA,NA,NA,0.90357737300285,0.894372225699793
675,675.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.90357737300285,0.894372225699793
676,676.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.902731547285953,0.890800856772705
677,677.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.924760605648546,0.913016067676517
678,678.1,3,"pink",5,4,"fluctuating","high",0.885,0.872,0.917855519475583,0.904197969896399
678,678.2,3,"pink",5,4,"fluctuating","high",0.885,0.872,0.917855519475583,0.904197969896399
679,679.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.86680203538425,0.666478902328105
680,680.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.81326768774571,0.800051499498723
681,681.1,3,"pink",5,4,"fluctuating","high",0.886,0.867,0.935586646022885,0.915463500177479
683,683.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.795156083453633,0.7330103054778
684,684.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.90743884466072,0.857952184995644
686,686.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.91159225192711,0.886945062072906
687,687.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.91824555095506,0.868117387093137
689,689.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.878229686512417,0.826938327848321
693,693.1,3,"pink",5,4,"stable",NA,NA,NA,0.852425631553537,0.840500236036082
694,694.1,3,"pink",5,4,"stable",NA,NA,NA,0.879261263241533,0.868184729227392
695,695.1,3,"pink",5,4,"stable",NA,NA,NA,0.923605266352829,0.910242660458357
696,696.1,3,"pink",5,4,"stable","low",0.895,0.88,0.925879401837525,0.910075734985826
697,697.1,3,"pink",5,4,"stable",NA,NA,NA,0.917627101292749,0.908712256079054
697,697.2,3,"pink",5,4,"stable",NA,NA,NA,0.917627101292749,0.908712256079054
698,698.1,3,"pink",5,4,"stable","high",0.865,0.845,0.91878900418671,0.898161802299296
701,701.1,3,"pink",5,4,"stable","high",0.876,0.821,0.920052982127389,0.863622069160493
702,702.1,3,"pink",5,4,"stable","low",0.886,0.872,0.919549294256544,0.904966456467394
704,704.1,3,"pink",5,4,"stable",NA,NA,NA,0.921770901189762,0.891485799744568
705,705.2,3,"pink",5,4,"stable","high",0.832,0.809,0.904581294642602,0.879803800340483
705,705.1,3,"pink",5,4,"stable","high",0.832,0.809,0.904581294642602,0.879803800340483
706,706.1,3,"pink",5,4,"stable","high",0.89,0.867,0.922127789475288,0.899474739642991
707,707.1,3,"pink",5,4,"stable","low",0.885,0.871,0.917745401339546,0.903167558328387
708,708.1,3,"pink",5,4,"stable","low",0.902,0.886,0.92998735314934,0.913578802518917
709,709.1,3,"pink",5,4,"stable","high",0.856,0.838,0.898438162361106,0.880408578390136
712,712.1,3,"pink",5,4,"stable","high",0.881,0.867,0.909818918812115,0.895373850572808
713,713.1,3,"pink",5,4,"stable","low",0.89,0.878,0.917862773848767,0.90535349333004
713,713.2,3,"pink",5,4,"stable","low",0.89,0.878,0.917862773848767,0.90535349333004
714,714.1,3,"pink",5,4,"stable",NA,NA,NA,0.874525542163656,0.860608123417968
715,715.1,3,"pink",5,4,"stable",NA,NA,NA,0.910876497065542,0.884412965284096
719,719.1,3,"pink",5,4,"stable",NA,NA,NA,0.929199722589412,0.890863468853835
720,720.1,3,"pink",5,4,"stable","low",0.893,0.88,0.924231146375581,0.910362197434526
723,723.1,4,"yellow",1,20,"fluctuating",NA,NA,NA,0.811064975397153,0.795712448439073
725,725.1,4,"yellow",1,20,"fluctuating","high",0.828,0.811,0.831505513231303,0.814547208534538
726,726.1,4,"yellow",1,20,"fluctuating","high",0.792,0.771,0.798202110300338,0.777420879661343
728,728.1,4,"yellow",1,20,"fluctuating","high",0.743,0.725,0.751619392246082,0.733963230806298
729,729.1,4,"yellow",1,20,"fluctuating","low",0.88,0.872,0.881383040188367,0.874101608333689
729,729.2,4,"yellow",1,20,"fluctuating","low",0.88,0.872,0.881383040188367,0.874101608333689
729,729.3,4,"yellow",1,20,"fluctuating","low",0.88,0.872,0.881383040188367,0.874101608333689
730,730.1,4,"yellow",1,20,"fluctuating","high",0.822,0.792,0.825001194419663,0.796419943959269
734,734.1,4,"yellow",1,20,"fluctuating","high",0.786,0.742,0.790906586715414,0.749220985406195
735,735.1,4,"yellow",1,20,"fluctuating",NA,NA,NA,0.713903992806999,0.701077394362409
737,737.1,4,"yellow",1,20,"fluctuating","high",0.854,0.834,0.856063527048621,0.836871113290124
738,738.1,4,"yellow",1,20,"fluctuating",NA,NA,NA,0.873936907701352,0.840888286725303
740,740.1,4,"yellow",1,20,"fluctuating",NA,NA,NA,0.821513877885143,0.79937244576545
741,741.2,4,"yellow",1,20,"fluctuating","low",0.848,0.84,0.850232534895846,0.842599998138974
741,741.1,4,"yellow",1,20,"fluctuating","low",0.848,0.84,0.850232534895846,0.842599998138974
742,742.1,4,"yellow",1,20,"fluctuating","high",0.811,0.798,0.81602442146252,0.802598933430699
744,744.1,4,"yellow",1,20,"fluctuating",NA,NA,NA,0.820501958883144,0.804288642318936
745,745.1,4,"yellow",1,20,"fluctuating","low",0.879,0.869,0.880969276555491,0.871294670021094
745,745.2,4,"yellow",1,20,"fluctuating","low",0.879,0.869,0.880969276555491,0.871294670021094
745,745.3,4,"yellow",1,20,"fluctuating","low",0.879,0.869,0.880969276555491,0.871294670021094
745,745.4,4,"yellow",1,20,"fluctuating","low",0.879,0.869,0.880969276555491,0.871294670021094
749,749.1,4,"yellow",1,20,"fluctuating","high",0.756,0.735,0.761818915628567,0.741215933332656
753,753.1,4,"yellow",1,20,"stable","high",0.839,0.828,0.842728389866485,0.831171077432124
753,753.2,4,"yellow",1,20,"stable","high",0.839,0.828,0.842728389866485,0.831171077432124
754,754.1,4,"yellow",1,20,"stable","low",0.871,0.858,0.872746978150266,0.859681711649189
755,755.2,4,"yellow",1,20,"stable","high",0.703,0.696,0.712786044113914,0.705254440825792
755,755.1,4,"yellow",1,20,"stable","high",0.703,0.696,0.712786044113914,0.705254440825792
757,757.1,4,"yellow",1,20,"stable","high",0.837,0.823,0.839881167394366,0.825620541025426
760,760.1,4,"yellow",1,20,"stable",NA,NA,NA,0.853435021217239,0.825518800494099
762,762.1,4,"yellow",1,20,"stable",NA,NA,NA,0.695926611157418,0.680383143646857
763,763.1,4,"yellow",1,20,"stable","low",0.889,0.874,0.889925935676623,0.875694232605897
763,763.2,4,"yellow",1,20,"stable","low",0.889,0.874,0.889925935676623,0.875694232605897
764,764.1,4,"yellow",1,20,"stable","high",0.666,0.658,0.679176554076819,0.670995302295041
764,764.2,4,"yellow",1,20,"stable",NA,NA,NA,0.679176554076819,0.670995302295041
765,765.1,4,"yellow",1,20,"stable",NA,NA,NA,0.88427572582219,0.858720895116064
766,766.1,4,"yellow",1,20,"stable",NA,NA,NA,0.777437634135331,0.753597129132867
768,768.1,4,"yellow",1,20,"stable","low",0.871,0.862,0.872587391742137,0.863760327114395
768,768.2,4,"yellow",1,20,"stable",NA,NA,NA,0.872587391742137,0.863760327114395
769,769.1,4,"yellow",1,20,"stable","low",0.845,0.829,0.847451748493368,0.831970622401437
770,770.1,4,"yellow",1,20,"stable",NA,NA,NA,0.889965310104232,0.875786562738786
771,771.1,4,"yellow",1,20,"stable","low",0.855,0.841,0.857661795606597,0.843099396247229
772,772.1,4,"yellow",1,20,"stable","high",0.829,0.819,0.832618743484728,0.823042628263689
772,772.2,4,"yellow",1,20,"stable",NA,NA,NA,0.832618743484728,0.823042628263689
774,774.1,4,"yellow",1,20,"stable",NA,NA,NA,0.641822357210784,0.592670358546709
776,776.2,4,"yellow",1,20,"stable","low",0.84,0.831,0.842464311370629,0.833630721397193
776,776.1,4,"yellow",1,20,"stable","low",0.84,0.831,0.842464311370629,0.833630721397193
778,778.1,4,"yellow",1,20,"stable",NA,NA,NA,0.861229325338922,0.839927556173747
779,779.1,4,"yellow",1,20,"stable","high",0.754,0.743,0.760703759994257,0.749724392082254
781,781.1,4,"yellow",2,10,"fluctuating","low",0.864,0.852,0.881029087154019,0.86926491688553
782,782.1,4,"yellow",2,10,"fluctuating","high",0.803,0.797,0.841023479083242,0.834615206516506
782,782.2,4,"yellow",2,10,"fluctuating","high",0.803,0.797,0.841023479083242,0.834615206516506
782,782.3,4,"yellow",2,10,"fluctuating","high",0.803,0.797,0.841023479083242,0.834615206516506
786,786.1,4,"yellow",2,10,"fluctuating",NA,NA,NA,0.848310664521,0.836045199585229
787,787.1,4,"yellow",2,10,"fluctuating","high",0.598,0.573,0.631915470211759,0.606181850050237
790,790.1,4,"yellow",2,10,"fluctuating",NA,NA,NA,0.86281555500985,0.843546633878903
791,791.1,4,"yellow",2,10,"fluctuating","low",0.867,0.844,0.879709081333624,0.856816236281242
791,791.2,4,"yellow",2,10,"fluctuating","low",0.867,0.844,0.879709081333624,0.856816236281242
792,792.1,4,"yellow",2,10,"fluctuating","high",0.771,0.758,0.791440694634716,0.777625823120305
800,800.1,4,"yellow",2,10,"fluctuating","high",0.806,0.781,0.826001883708041,0.800526511612093
801,801.1,4,"yellow",2,10,"fluctuating","low",0.881,0.856,0.895636167270222,0.870942874416509
803,803.1,4,"yellow",2,10,"fluctuating",NA,NA,NA,0.757928704701357,0.742370062989976
804,804.1,4,"yellow",2,10,"fluctuating",NA,NA,NA,0.698491339697776,0.673381194066829
805,805.1,4,"yellow",2,10,"fluctuating","low",0.855,0.843,0.865919982484343,0.8533152716213
806,806.1,4,"yellow",2,10,"fluctuating","low",0.884,0.863,0.899713587203649,0.878625180836174
808,808.1,4,"yellow",2,10,"fluctuating",NA,NA,NA,0.802875967651312,0.763695105150878
811,811.2,4,"yellow",2,10,"stable",NA,NA,NA,0.910844546697536,0.903792192982739
811,811.1,4,"yellow",2,10,"stable","low",0.899,0.892,0.910844546697536,0.903792192982739
812,812.2,4,"yellow",2,10,"stable",NA,NA,NA,0.838741337143209,0.82858760327969
812,812.1,4,"yellow",2,10,"stable","low",0.818,0.808,0.838741337143209,0.82858760327969
813,813.1,4,"yellow",2,10,"stable",NA,NA,NA,0.568902216020066,0.53959223510559
825,825.1,4,"yellow",2,10,"stable",NA,NA,NA,NA,NA
826,826.1,4,"yellow",2,10,"stable",NA,NA,NA,0.748784911081997,0.736505639263066
829,829.1,4,"yellow",2,10,"stable",NA,NA,NA,0.702283029286844,0.653197105919984
834,834.1,4,"yellow",2,10,"stable",NA,NA,NA,0.812033867243298,0.775810849372274
835,835.1,4,"yellow",2,10,"stable","high",0.772,0.756,0.794778459149556,0.778457929683804
837,837.1,4,"yellow",2,10,"stable",NA,NA,NA,0.811908787636453,0.781475273566724
839,839.1,4,"yellow",2,10,"stable",NA,NA,NA,0.89146703273277,0.851766485867113
842,842.1,4,"yellow",4,5,"fluctuating",NA,NA,NA,0.837685686991763,0.819293282929665
844,844.2,4,"yellow",4,5,"fluctuating","high",0.847,0.839,0.914891031391873,0.906387244745078
844,844.1,4,"yellow",4,5,"fluctuating","high",0.847,0.839,0.914891031391873,0.906387244745078
846,846.2,4,"yellow",4,5,"fluctuating",NA,NA,NA,0.875683757027123,0.866348927165439
846,846.1,4,"yellow",4,5,"fluctuating","high",0.843,0.833,0.875683757027123,0.866348927165439
847,847.1,4,"yellow",4,5,"fluctuating","high",0.728,0.707,0.780361503808263,0.758961164516591
851,851.1,4,"yellow",4,5,"fluctuating","low",0.894,0.884,0.91664600949345,0.905808359867956
851,851.2,4,"yellow",4,5,"fluctuating",NA,NA,NA,0.91664600949345,0.905808359867956
852,852.1,4,"yellow",4,5,"fluctuating",NA,NA,NA,0.896042002860502,0.876725327243851
853,853.1,4,"yellow",4,5,"fluctuating","high",0.778,0.755,0.867253658982986,0.841925321177081
856,856.1,4,"yellow",4,5,"fluctuating","low",0.861,0.85,0.897258409064393,0.885852745818458
857,857.1,4,"yellow",4,5,"fluctuating","low",0.868,0.855,0.921031652821311,0.907591321484563
858,858.1,4,"yellow",4,5,"fluctuating","high",0.839,0.821,0.878663130722156,0.859753053898972
859,859.1,4,"yellow",4,5,"fluctuating","low",0.867,0.855,0.904337749243844,0.891330587443053
861,861.3,4,"yellow",4,5,"fluctuating","low",0.85,0.839,0.92904498060639,0.91753000792391
861,861.1,4,"yellow",4,5,"fluctuating","low",0.85,0.839,0.92904498060639,0.91753000792391
861,861.2,4,"yellow",4,5,"fluctuating","low",0.85,0.839,0.92904498060639,0.91753000792391
862,862.1,4,"yellow",4,5,"fluctuating","low",0.907,0.891,0.927951097860131,0.910894634571273
864,864.1,4,"yellow",4,5,"fluctuating","high",0.754,0.736,0.82662022005772,0.806251996395149
865,865.1,4,"yellow",4,5,"fluctuating",NA,NA,NA,0.91202226652032,0.89755801091749
866,866.1,4,"yellow",4,5,"fluctuating","low",0.864,0.848,0.892381551418925,0.876000568757266
867,867.1,4,"yellow",4,5,"fluctuating","low",0.871,0.859,0.902274775336813,0.890256630261745
868,868.1,4,"yellow",4,5,"fluctuating","low",0.857,0.846,0.902249951055949,0.89046057707417
869,869.1,4,"yellow",4,5,"fluctuating","high",0.793,0.782,0.859478151114816,0.8480055024736
870,870.1,4,"yellow",4,5,"fluctuating","low",0.881,0.868,0.910873482219701,0.898028756321815
871,871.1,4,"yellow",4,5,"stable",NA,NA,NA,0.74563632355299,0.700701195987654
872,872.1,4,"yellow",4,5,"stable","low",0.877,0.862,0.911523881818006,0.895953613825831
874,874.1,4,"yellow",4,5,"stable","low",0.868,0.848,0.911339833942233,0.889944876197957
875,875.1,4,"yellow",4,5,"stable",NA,NA,NA,0.90315550639483,0.884508278156377
876,876.1,4,"yellow",4,5,"stable",NA,NA,NA,0.908681408701107,0.89551029838019
877,877.1,4,"yellow",4,5,"stable","high",0.832,0.819,0.884036988461621,0.869982480904062
880,880.1,4,"yellow",4,5,"stable",NA,NA,NA,0.607895770036175,0.591939480493125
882,882.1,4,"yellow",4,5,"stable",NA,NA,NA,0.924846448332703,0.901983497851512
883,883.1,4,"yellow",4,5,"stable","high",0.791,0.775,0.845573180393081,0.828119995446841
885,885.1,4,"yellow",4,5,"stable",NA,NA,NA,0.626520226688326,0.611464241465619
901,901.1,4,"yellow",5,4,"fluctuating","high",0.882,0.865,0.920081944320893,0.902729767630298
902,902.1,4,"yellow",5,4,"fluctuating",NA,NA,NA,0.94128871259052,0.874857844816991
903,903.1,4,"yellow",5,4,"fluctuating","low",0.894,0.884,0.938890322259481,0.928293094559816
903,903.2,4,"yellow",5,4,"fluctuating","low",0.894,0.884,0.938890322259481,0.928293094559816
904,904.2,4,"yellow",5,4,"fluctuating","high",0.867,0.857,0.932540449655061,0.921848491142427
904,904.1,4,"yellow",5,4,"fluctuating","high",0.867,0.857,0.932540449655061,0.921848491142427
908,908.1,4,"yellow",5,4,"fluctuating",NA,NA,NA,0.935792925148812,0.843283027699565
909,909.1,4,"yellow",5,4,"fluctuating","low",0.908,0.897,0.928088739779717,0.91736698404079
909,909.2,4,"yellow",5,4,"fluctuating",NA,NA,NA,0.928088739779717,0.91736698404079
