ID,Generation,N0,Census,Person
4008,10,20,48,MFO
4009,10,20,42,MFO
4010,10,20,,
4011,10,20,,
4012,10,20,,
4013,10,20,,
4014,10,20,,
4015,10,20,,
4016,10,20,37,MFO
4017,10,20,,
4018,10,20,63,MFO
4019,10,20,,
4020,10,20,,
4021,10,20,48,MFO
4022,10,20,,
4023,10,20,,
4024,10,20,47,MFO
4025,10,20,,
4026,10,20,,
4027,10,20,,
4028,10,20,,
4029,10,20,,
4030,10,20,53,MFO
723.1,10,26,14,MJK
725.1,10,24,28,MJK
726.1,10,19,27,MJK
728.1,10,21,27,MJK
729.1,10,30,30,MJK
729.2,10,30,30,MJK
730.1,10,14,19,MJK
734.1,10,9,19,MJK
735.1,10,27,15,MJK
737.1,10,22,19,MFO
738.1,10,13,12,MFO
740.1,10,18,13,MFO
741.1,10,28,22,MFO
741.2,10,27,17,MFO
742.1,10,30,23,MFO
744.1,10,25,9,MFO
745.1,10,23,33,MFO
745.2,10,22,39,MFO
749.1,10,18,24,MFO
4101,10,20,19,MFO
4102,10,20,15,MFO
4103,10,20,33,MFO
4104,10,20,20,MFO
4105,10,20,22,MFO
4106,10,20,19,MFO
4107,10,20,24,MFO
4108,10,32,32,MFO
753.1,10,36,37,MFO
754.1,10,33,23,MFO
755.1,10,23,23,MFO
755.2,10,23,21,MFO
757.1,10,29,21,MFO
760.1,10,15,9,MFO
762.1,10,22,6,MFO
763.1,10,31,34,MFO
764.1,10,21,16,MFO
764.2,10,20,15,MFO
765.1,10,17,8,MFO
766.1,10,16,8,MFO
768.1,10,25,0,MFO
768.2,10,24,16,MFO
769.1,10,27,18,MFO
770.1,10,31,13,MFO
771.1,10,29,23,MFO
772.1,10,22,17,MFO
772.2,10,21,8,MFO
774.1,10,6,2,MFO
776.1,10,24,22,MFO
776.2,10,23,15,MFO
778.1,10,20,8,MFO
779.1,10,34,20,MFO
4201,10,20,10,MJK
4202,10,20,23,MJK
4203,10,20,21,MJK
4204,10,20,30,MJK
4205,10,20,15,MJK
4206,10,20,24,MJK
4207,10,20,18,MJK
4208,10,20,16,MJK
4209,10,20,19,MJK
4210,10,21,24,MJK
781.1,10,37,21,MFO
782.1,10,33,32,MFO
782.2,10,31,19,MFO
786.1,10,34,14,MFO
787.1,10,12,18,MFO
790.1,10,22,12,MFO
791.1,10,19,38,MFO
792.1,10,28,16,MFO
800.1,10,16,28,MFO
801.1,10,18,27,MFO
803.1,10,24,10,MFO
804.1,10,13,10,MFO
805.1,10,34,26,MFO
806.1,10,21,18,MFO
808.1,10,10,11,MFO
4301,10,20,17,MJK
4302,10,20,19,MJK
4303,10,20,24,MJK
4304,10,20,13,MJK
4305,10,19,19,MJK
811.1,10,32,14,MFO
811.2,10,32,13,MFO
812.1,10,21,6,MFO
812.2,10,20,16,MFO
813.1,10,9,6,MFO
825.1,10,18,3,MFO
826.1,10,30,6,MFO
829.1,10,7,11,MFO
834.1,10,11,5,MFO
835.1,10,24,17,MFO
