Population,ID,Group,Block,Treatment,number,size,env,Ht.over.H0.8,Ht.over.H0.9,P,F1,N0,F2
532,532.3,low,3,2,1,20,stable,0.766,0.757,20.5,48,16,34
536,536.1,high,3,2,1,20,stable,0.73,0.719,31,38,16,8
536,536.2,high,3,2,1,20,stable,0.73,0.719,31,38,16,4
3201,3201.1,mixed,3,2,1,20,stable,NA,NA,20,15.8,16,35
3202,3202.1,mixed,3,2,1,20,stable,NA,NA,20,15.8,16,49
3203,3203.1,mixed,3,2,1,20,stable,NA,NA,20,15.8,16,33
3204,3204.1,mixed,3,2,1,20,stable,NA,NA,20,15.8,16,33
545,545.1,low,3,3,2,10,fluctuating,0.886,0.86,17,23,16,14
546,546.1,high,3,3,2,10,fluctuating,0.744,0.726,21,23,16,24
552,552.1,low,3,3,2,10,fluctuating,0.868,0.858,22,40,16,25
552,552.2,low,3,3,2,10,fluctuating,0.868,0.858,22,40,16,30
560,560.1,high,3,3,2,10,fluctuating,0.85,0.831,23,24,16,34
563,563.1,high,3,3,2,10,fluctuating,0.792,0.756,11,16,16,21
3301,3301.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,19
3302,3302.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,13
3303,3303.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,34
3304,3304.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,30
3305,3305.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,27
3306,3306.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,28
3307,3307.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,33
3308,3308.1,mixed,3,3,2,10,fluctuating,NA,NA,20,21.33,16,28
571,571.1,low,3,4,2,10,stable,0.841,0.832,22.5,32,16,18
571,571.2,low,3,4,2,10,stable,0.841,0.832,22.5,32,16,15
575,575.1,high,3,4,2,10,stable,0.84,0.828,36,39,16,47
575,575.2,high,3,4,2,10,stable,0.84,0.828,36,39,16,19
577,577.1,high,3,4,2,10,stable,0.804,0.783,19,18,16,31
595,595.1,low,3,4,2,10,stable,0.889,0.875,32,21,16,38
599,599.1,low,3,4,2,10,stable,0.891,0.873,24,23,16,22
600,600.1,low,3,4,2,10,stable,0.839,0.831,29,34,16,17
600,600.2,low,3,4,2,10,stable,0.839,0.831,29,34,16,18
3401,3401.1,mixed,3,4,2,10,stable,NA,NA,20,22.25,16,25
3402,3402.1,mixed,3,4,2,10,stable,NA,NA,20,22.25,16,32
3403,3403.1,mixed,3,4,2,10,stable,NA,NA,20,22.25,16,10
3404,3404.1,mixed,3,4,2,10,stable,NA,NA,20,22.25,16,21
3405,3405.1,mixed,3,4,2,10,stable,NA,NA,20,22.25,16,16
602,602.1,low,3,5,4,5,fluctuating,0.866,0.855,20.5,46,16,33
602,602.2,low,3,5,4,5,fluctuating,0.866,0.855,20.5,46,16,31
606,606.1,high,3,5,4,5,fluctuating,0.831,0.814,25,40,16,7
606,606.2,high,3,5,4,5,fluctuating,0.831,0.814,25,40,16,9
607,607.1,high,3,5,4,5,fluctuating,0.811,0.777,12,16,16,17
611,611.1,low,3,5,4,5,fluctuating,0.883,0.865,24,20,16,24
614,614.1,low,3,5,4,5,fluctuating,0.863,0.838,17,31,16,6
617,617.1,high,3,5,4,5,fluctuating,0.812,0.794,22,40,16,6
617,617.2,high,3,5,4,5,fluctuating,0.812,0.794,22,40,16,22
621,621.1,low,3,5,4,5,fluctuating,0.874,0.86,31,26,16,41
622,622.1,high,3,5,4,5,fluctuating,0.818,0.809,23,40,16,23
622,622.2,high,3,5,4,5,fluctuating,0.818,0.809,23,40,16,13
624,624.1,low,3,5,4,5,fluctuating,0.876,0.864,37,29,16,17
625,625.1,low,3,5,4,5,fluctuating,0.877,0.861,28,19,16,11
626,626.1,low,3,5,4,5,fluctuating,0.869,0.852,26,39,16,2
626,626.2,low,3,5,4,5,fluctuating,0.869,0.852,26,39,16,5
627,627.1,high,3,5,4,5,fluctuating,0.787,0.765,18,16,16,7
628,628.1,high,3,5,4,5,fluctuating,0.83,0.815,27,17,16,5
3501,3501.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,28
3502,3502.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,43
3503,3503.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,34
3504,3504.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,30
3505,3505.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,23
3506,3506.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,28
3507,3507.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,30
3508,3508.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,16
3509,3509.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,20
3510,3510.1,mixed,3,5,4,5,fluctuating,NA,NA,20,20.27,16,20
631,631.1,high,3,6,4,5,stable,0.862,0.823,11,25,16,17
633,633.1,high,3,6,4,5,stable,0.806,0.789,23,22,16,11
636,636.1,low,3,6,4,5,stable,0.868,0.851,25,24,16,2
637,637.1,high,3,6,4,5,stable,0.841,0.789,8,17,16,12
639,639.1,high,3,6,4,5,stable,0.825,0.809,27,30,16,5
653,653.1,low,3,6,4,5,stable,0.868,0.85,24,26,16,32
654,654.1,high,3,6,4,5,stable,0.859,0.811,9,24,16,28
655,655.1,low,3,6,4,5,stable,0.899,0.886,35,21,16,8
657,657.1,low,3,6,4,5,stable,0.842,0.824,24,18,16,21
658,658.1,low,3,6,4,5,stable,0.869,0.849,22,17,16,19
659,659.1,low,3,6,4,5,stable,0.857,0.841,26,19,16,13
3601,3601.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,18
3602,3602.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,23
3603,3603.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,33
3604,3604.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,23
3605,3605.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,23
3606,3606.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,14
3607,3607.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,33
3608,3608.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,24
3609,3609.1,mixed,3,6,4,5,stable,NA,NA,20,18.88,16,12
664,664.1,high,3,7,5,4,fluctuating,0.875,0.862,35,26,16,14
667,667.1,high,3,7,5,4,fluctuating,0.888,0.877,21,22,16,33
668,668.1,low,3,7,5,4,fluctuating,0.893,0.885,29,29,16,29
670,670.1,low,3,7,5,4,fluctuating,0.892,0.882,20.5,49,16,16
670,670.2,low,3,7,5,4,fluctuating,0.892,0.882,20.5,49,16,35
670,670.3,low,3,7,5,4,fluctuating,0.892,0.882,20.5,49,16,21
673,673.1,low,3,7,5,4,fluctuating,0.902,0.886,29,18,16,21
678,678.1,high,3,7,5,4,fluctuating,0.885,0.872,33,38,16,19
678,678.2,high,3,7,5,4,fluctuating,0.885,0.872,33,38,16,20
681,681.1,high,3,7,5,4,fluctuating,0.886,0.867,23,19,16,47
3701,3701.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,20
3702,3702.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,16
3703,3703.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,32
3704,3704.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,24
3705,3705.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,21
3706,3706.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,18
3707,3707.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,13
